path,top_dir,suffix,size_bytes,class,recommendation,delete_risk,reason
src/app/__pycache__/task_601_3_portfolio_selection_layer.cpython-313.pyc,src,.pyc,34696,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/__init__.cpython-313.pyc,src,.pyc,435,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/add_scale_lineage.cpython-313.pyc,src,.pyc,4097,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis.cpython-313.pyc,src,.pyc,11338,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_10x_framework_400.cpython-313.pyc,src,.pyc,30580,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_always_in_410.cpython-313.pyc,src,.pyc,17999,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_architecture_082r.cpython-313.pyc,src,.pyc,13272,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_benchmark_gate_512.cpython-313.pyc,src,.pyc,15282,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_breakout_sensitivity_099.cpython-313.pyc,src,.pyc,42726,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_capital_backtest_093.cpython-313.pyc,src,.pyc,31088,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_capital_deployment_097_5.cpython-313.pyc,src,.pyc,19321,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_capital_failure_review_093.cpython-313.pyc,src,.pyc,29011,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_cost_realistic.cpython-313.pyc,src,.pyc,11902,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_cost_sensitivity.cpython-313.pyc,src,.pyc,9880,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_crb_range_pct_102.cpython-313.pyc,src,.pyc,10151,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_crb_review_101_rev.cpython-313.pyc,src,.pyc,16045,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_crb_validation_101.cpython-313.pyc,src,.pyc,12898,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_drawdown_control_094.cpython-313.pyc,src,.pyc,23596,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_entry_policy_experiment.cpython-313.pyc,src,.pyc,6112,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_exclusion.cpython-313.pyc,src,.pyc,10219,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_execution_density_097.cpython-313.pyc,src,.pyc,32151,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_final_validation_limited_chase.cpython-313.pyc,src,.pyc,11264,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_final_validation_time_stop_only.cpython-313.pyc,src,.pyc,18752,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_gate_revalidation_077.cpython-313.pyc,src,.pyc,6824,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_max_return_regime_510.cpython-313.pyc,src,.pyc,34846,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_minimal_regime_entry_gate_076.cpython-313.pyc,src,.pyc,20309,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_missed_drawdown.cpython-313.pyc,src,.pyc,16840,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_multi_entry_201.cpython-313.pyc,src,.pyc,19699,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_multi_entry_review_201.cpython-313.pyc,src,.pyc,7884,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_multi_strategy_300.cpython-313.pyc,src,.pyc,29124,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_portfolio_validation_083.cpython-313.pyc,src,.pyc,24206,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_realistic_engine_202.cpython-313.pyc,src,.pyc,24271,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_realistic_engine_203.cpython-313.pyc,src,.pyc,24020,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_regime_decomposition_078.cpython-313.pyc,src,.pyc,14349,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_regime_rebuild_511.cpython-313.pyc,src,.pyc,45057,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_regime_switch_500.cpython-313.pyc,src,.pyc,29311,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_revalidation_096.cpython-313.pyc,src,.pyc,16565,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_revalidation_100.cpython-313.pyc,src,.pyc,16421,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_risk_adoption_095.cpython-313.pyc,src,.pyc,13540,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_risk_component_review_094.cpython-313.pyc,src,.pyc,11932,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_risk_grid_068b.cpython-313.pyc,src,.pyc,18166,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_risk_model_layer.cpython-313.pyc,src,.pyc,6676,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_sector.cpython-313.pyc,src,.pyc,7626,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_sharpe_gap_review_096.cpython-313.pyc,src,.pyc,39644,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_sharpe_tuning_096_5.cpython-313.pyc,src,.pyc,15114,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_signal_density_098.cpython-313.pyc,src,.pyc,17999,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_signal_funnel_098_5.cpython-313.pyc,src,.pyc,29987,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_stop_loss_structure.cpython-313.pyc,src,.pyc,18744,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_strategy_lock_084.cpython-313.pyc,src,.pyc,29123,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_structural_breakout_322.cpython-313.pyc,src,.pyc,75794,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_structural_breakout_add_relay_lifecycle_363.cpython-313.pyc,src,.pyc,10135,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_structural_breakout_alpha_family_viability_350.cpython-313.pyc,src,.pyc,49244,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_structural_breakout_anchored_oos_failure_uplift_355.cpython-313.pyc,src,.pyc,23030,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_structural_breakout_audit_323.cpython-313.pyc,src,.pyc,25785,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_structural_breakout_behavior_clustered_state_333.cpython-313.pyc,src,.pyc,56033,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_structural_breakout_behavior_state_monetization_334.cpython-313.pyc,src,.pyc,39929,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_structural_breakout_best_combo_323plus.cpython-313.pyc,src,.pyc,178945,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_structural_breakout_canonical_continuation_oos_overlay_387.cpython-313.pyc,src,.pyc,4587,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_structural_breakout_canonical_continuation_quality_386.cpython-313.pyc,src,.pyc,4579,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_structural_breakout_canonical_lifecycle_capture_expansion_383.cpython-313.pyc,src,.pyc,4409,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_structural_breakout_canonical_lifecycle_replay_revalidation_382.cpython-313.pyc,src,.pyc,4997,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_structural_breakout_canonical_lifecycle_stream_accumulation_384.cpython-313.pyc,src,.pyc,5213,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_structural_breakout_conditional_edge_integration_342.cpython-313.pyc,src,.pyc,42871,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_structural_breakout_continuation_regime_persistence_351.cpython-313.pyc,src,.pyc,36407,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_structural_breakout_continuation_regime_reframing_352.cpython-313.pyc,src,.pyc,20737,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_structural_breakout_coverage_corrected_revalidation_346.cpython-313.pyc,src,.pyc,48344,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_structural_breakout_cross_regime_persistence_349.cpython-313.pyc,src,.pyc,47674,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_structural_breakout_definition_audit_373.cpython-313.pyc,src,.pyc,6516,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_structural_breakout_endogenous_state_gated_allocator_357.cpython-313.pyc,src,.pyc,37867,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_structural_breakout_event_capture_369.cpython-313.pyc,src,.pyc,7186,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_structural_breakout_event_lifecycle_365.cpython-313.pyc,src,.pyc,8453,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_structural_breakout_event_shock_regime_audit_356.cpython-313.pyc,src,.pyc,28966,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_structural_breakout_exit_size_324.cpython-313.pyc,src,.pyc,35068,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_structural_breakout_forward_persistence_375.cpython-313.pyc,src,.pyc,9467,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_structural_breakout_forward_pure_breakout_374.cpython-313.pyc,src,.pyc,14975,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_structural_breakout_healthy_expansion_362.cpython-313.pyc,src,.pyc,15703,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_structural_breakout_identity_review_protocol_380.cpython-313.pyc,src,.pyc,7254,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_structural_breakout_information_layer_expansion_335.cpython-313.pyc,src,.pyc,46679,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_structural_breakout_intraday_backfill_scope_337.cpython-313.pyc,src,.pyc,4403,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_structural_breakout_intraday_coverage_alignment_345.cpython-313.pyc,src,.pyc,25342,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_structural_breakout_intraday_coverage_audit_337.cpython-313.pyc,src,.pyc,11810,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_structural_breakout_intraday_evaluation_fix_338.cpython-313.pyc,src,.pyc,24965,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_structural_breakout_intraday_evidence_expansion_audit_344.cpython-313.pyc,src,.pyc,10468,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_structural_breakout_intraday_signal_strengthening_339.cpython-313.pyc,src,.pyc,35730,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/backtest/__pycache__/analysis_structural_breakout_lifecycle_coverage_377.cpython-313.pyc,src,.pyc,5910,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
